26123000,2
26123001,2
26123002,2
26123003,2
26123004,2
26123005,2
26123006,2
26123007,2
26123008,2
26123009,2
26123010,2
26123011,2
26123012,2
26123013,2
26123014,0
26123015,2
26123016,2
26123017,2
26123018,2
26123019,2
26123020,2
26123021,2
26123022,2
26123023,2
26123024,2
26123025,2
26123026,2
26123027,1
26123028,2
26123029,1
26123030,2
26123031,2
26123032,2
26123033,2
26123034,1
26123035,2
26123036,2
26123037,2
26123039,2
26123040,2
26123041,0
26123042,2
26123043,2
26123044,2
26123045,2
26123046,1
26123047,2
26123048,2
26123049,2
26123050,2
26123051,2
26123052,2
26123053,2
26123054,2
26123055,2
26123056,2
26123057,2
26123058,2
26123059,2
26123060,2
26123061,2
26123062,2
26123063,2
26123064,2
26123065,2
26123066,2
26123067,0
26123068,2
26123069,2
26123070,2
26123071,2
26123072,2
26123073,2
26123074,2
26123075,2
26123076,2
26123077,2
26123078,2
26123079,2
26123080,1
26123081,0
26123082,2
26123083,2
26123084,2
26123085,2
26123086,2
26123087,2
26123088,2
26123089,2
26123090,2
26123091,2
26123092,2
26123093,2
26123094,2
26123095,2
26123096,2
26123097,2
26123098,2
26123099,2
26123100,2
26123101,2
26123102,2
26123103,2
26123104,0
26123105,2
26123106,2
26123107,2
26123108,2
26123110,2
26123111,2
26123112,2
26123113,2
26123114,2
26123115,2
26123116,2
26123118,2
26123119,2
26123120,2
26123122,2
26123123,2
26123124,1
26123125,2
26123126,2
26123127,2
26123128,0
26123129,2
26123130,1
26123131,2
26123132,2
26123133,2
26123134,2
26123135,2
26123136,2
26123137,2
26123138,2
26123139,2
26123140,2
26123141,2
26123142,2
26123143,1
26123144,2
26123145,2
26123146,0
26123147,0
26123148,1
26123149,2
26123150,2
26123151,2
26123152,2
26123153,2
26123154,2
26123155,1
26123156,2
26123157,2
26123158,2
26123159,2
26123160,2
26123161,2
26123162,2
26123163,2
26123164: NO EXIST!
26123165,0
26123166,2
26123167,2
26123168,2
26123169,2
26123170,2
26123171,2
26123172,2
26123173,2
26123174,0
26123175: NO EXIST!
26123176,0
26123177,0
26123178,0
26123179,1
26123180,2
26123181,2
26123182,2
26123183,2
26123184,2
26123185,2
26123186,2
26123187,2
26123188,2
26123189,2
26123190,2
26123191,2
26123192,2
26123193: NO EXIST!
26123194,2
26123195,2
26123196,2
26123197,2
26123198,2
26123199,2
26123200: NO EXIST!
26123201,2
26123202,2
26123203,0
26123204,0
26123205,2
26123206,2
26123207,2
26123208,2
26123209,2
26123210,2
26123211,0
26123212,2
26123213,2
26123214,2
26123215,2
26123216,2
26123217,2
26123218,2
26123219,2
26123220,2
26123221,1
26123222,2
26123223,2
26123224,2
26123225,2
26123226,2
26123227,2
26123228,1
26123229,1
26123230,2
26123231,2
26123232,1
26123233,2
26123234,0
26123235,2
26123236,2
26123237,1
26123238,2
26123239,2
26123240: NO EXIST!
26123241: NO EXIST!
26123242,2
26123243,2
26123244,2
26123245,2
26123246,2
26123247: NO EXIST!
26123248,0
26123249,1
26123250,0
26123251,0
26123252,2
26123253,2
26123254,2
26123255,0
26123256,2
26123257,2
26123258,0
26123259,2
26123260,0
26123261,2
26123262,2
26123263,0
26123264,2
26123265,1
26123266,1
26123267,0
26123268,2
26123269,2
26123270,0
26123271,2
26123272,2
26123273,2
26123274,2
26123275,2
26123276,2
26123277,2
26123278,2
26123279,2
26123280,2
26123281,2
26123282,2
26123283,2
26123284,2
26123285,1
26123286,0
26123287,1
26123288,2
26123289,2
26123290,2
26123291,2
26123292,2
26123293,2
26123294,1
26123295,1
26123296,1
26123297,1
26123298,1
26123299,1
26123300,1
26123301,1
26123302,2
26123303,1
26123304,2
26123305,1
26123306,2
26123307,1
26123308,2
26123309,1
26123310,1
26123311,2
26123312,1
26123313: NO EXIST!
26123314,1
26123315,2
26123316,2
26123317,1
26123318,2
26123319,1
26123320: NO EXIST!
26123321,2
26123322,1
26123323,2
26123324,1
26123325,2
26123326,0
26123327,0
26123328,0
26123329,0
26123330,1
26123331,0
26123332,2
26123333,2
26123334,1
26123335,2
26123336,2
26123337,1
26123338,2
26123339,2
26123340,2
26123341,2
26123342: NO EXIST!
26123343,2
26123344,1
26123345,0
26123346,2
26123347,1
26123348,2
26123349: NO EXIST!
26123350,2
26123351,2
26123352,1
26123353,2
26123354,1
26123355,2
26123356,2
26123357,2
26123358,1
26123359,0
26123360,2
26123361,1
26123362,2
26123363,2
26123364,1
26123365,2
26123366,0
26123367,2
26123368,1
26123369,2
26123370,1
26123371: NO EXIST!
26123372,2
26123373,0
26123374,1
26123375,2
26123376,2
26123377,1
26123378,2
26123379: NO EXIST!
26123380,1
26123381: NO EXIST!
26123382,2
26123383,1
26123384,2
26123385,1
26123386,2
26123387,1
26123388,1
26123389,2
26123390,1
26123391,2
26123392,2
26123393,1
26123394,2
26123395,1
26123396: NO EXIST!
26123397,1
26123398,2
26123399,1
26123400,2
26123401: NO EXIST!
26123402,1
26123403: NO EXIST!
26123404: NO EXIST!
26123405,2
26123406,1
26123407,2
26123408,2
26123409,2
26123410,1
26123411,2
26123412,1
26123413,2
26123414,2
